,Fighter Name,Age,Height,Reach,Overall Record,Record in Last 5,Sig. Strikes Landed/min,Striking Accuracy (%),Sig. Strikes Absorbed/min,Striking Defense (%),Differential/min (+/-),Takedown Avg/15min,Takedown Accuracy (%),Takedown Defense (%),Sub Attempt Avg/15min,# of Fights,KO Win %,Sub Win %,Dec Win %,Finish Rate,KO Wins,KO Losses,Sub Wins,Sub Losses,Dec Wins,Dec Losses,DQ Wins,DQ Losses,Odds,Category
421,Tabatha Ricci,28,61,61.0,09-01-0,04-01,4.12,37%,4.45,61%,-0.33,4.23,48%,66%,0.2,10,10.00%,30.00%,50.00%,40.00%,1,1,3,0,5,0,0,0,-145.0,Women's Strawweight Bout
422,Diana Belbita,27,67,68.0,15-08-0,02-03,6.59,42%,6.43,51%,0.16,0.97,62%,69%,0.0,23,26.00%,17.00%,22.00%,43.48%,6,0,4,4,5,4,0,0,255.0,Women's Strawweight Bout
423,Diana Belbita,27,67,68.0,15-08-0,02-03,6.59,42%,6.43,51%,0.16,0.97,62%,69%,0.0,23,26.00%,17.00%,22.00%,43.48%,6,0,4,4,5,4,0,0,142.0,Women's Strawweight Bout
424,Jessica Andrade,32,61,62.0,25-12-0,02-03,6.67,50%,5.36,54%,1.31,2.45,54%,72%,0.4,37,27.03%,21.62%,18.92%,48.65%,10,5,8,4,7,3,0,0,-170.0,Women's Strawweight Bout
425,Jessica Andrade,32,61,62.0,24-12-0,02-03,6.68,50%,5.34,54%,1.34,2.54,54%,70%,0.4,36,25.00%,22.00%,19.00%,47.22%,9,5,8,4,7,3,0,0,-170.0,Women's Strawweight Bout
426,Jessica Andrade,32,61,62.0,25-12-0,02-03,6.67,50%,5.36,54%,1.31,2.45,54%,72%,0.4,37,27.03%,21.62%,18.92%,48.65%,10,5,8,4,7,3,0,0,-137.0,Women's Strawweight Bout
427,Jessica Andrade,32,61,62.0,24-12-0,02-03,6.68,50%,5.34,54%,1.34,2.54,54%,70%,0.4,36,25.00%,22.00%,19.00%,47.22%,9,5,8,4,7,3,0,0,-137.0,Women's Strawweight Bout
428,Marnic Mann,31,60,64.0,06-02-0,03-02,1.1,42%,4.93,31%,-3.83,1.83,30%,16%,0.0,8,37.50%,12.50%,25.00%,50.00%,3,1,1,0,2,1,0,0,275.0,Women's Strawweight Bout
429,Virna Jandiroba,35,63,64.0,19-03-0,03-02,2.34,40%,3.03,56%,-0.69,2.42,39%,73%,1.0,22,4.55%,59.09%,22.73%,63.64%,1,0,13,0,5,3,0,0,170.0,Women's Strawweight Bout
430,Josh Culibao,29,70,73.0,11-02-0,03-01-2001,2.68,42%,3.29,56%,-0.61,0.0,0%,72%,0.4,14,36.00%,7.00%,36.00%,42.86%,5,1,1,0,5,1,0,0,-186.0,Women's Strawweight Bout
