,Fighter Name,Age,Height,Reach,Overall Record,Record in Last 5,Sig. Strikes Landed/min,Striking Accuracy (%),Sig. Strikes Absorbed/min,Striking Defense (%),Differential/min (+/-),Takedown Avg/15min,Takedown Accuracy (%),Takedown Defense (%),Sub Attempt Avg/15min,# of Fights,KO Win %,Sub Win %,Dec Win %,Finish Rate,KO Wins,KO Losses,Sub Wins,Sub Losses,Dec Wins,Dec Losses,DQ Wins,DQ Losses,Odds,Category
236,Ismael Bonfim,28,68,71.0,19-04-0,04-01,4.91,0.57,2.66,0.76,2.25,1.11,0.28,0.81,0.0,23,0.39130000000000004,0.1739,0.2609,0.5652,9,0,4,4,6,0,0,0,-550.0,Lightweight Bout
237,Austin Hubbard,32,70,71.0,15-07-0,03-02,3.83,0.46,3.37,0.56,0.46,1.55,0.52,0.63,0.0,23,0.21739999999999998,0.087,0.39130000000000004,0.3043,5,0,2,3,9,4,0,0,145.0,Lightweight Bout
238,Justin Gaethje,35,71,70.0,25-04-0,03-02,7.35,0.6,7.5,0.53,-0.15,0.13,0.25,0.75,0.0,29,0.6897,0.0345,0.1379,0.7241,20,2,1,2,4,0,0,0,-175.0,Lightweight Bout
239,Bobby Green,37,70,71.0,31-15-1,2-2 (1 NC),6.14,0.52,3.74,0.62,2.4,1.2,0.37,0.74,0.3,48,0.22920000000000001,0.1875,0.22920000000000001,0.4167,11,5,9,2,11,8,0,0,-175.0,Lightweight Bout
240,Bobby Green,37,70,71.0,31-14-1,2-2 (1 NC),6.15,0.52,3.66,0.62,2.49,1.21,0.37,0.74,0.3,45,0.24,0.2,0.24,0.44439999999999996,11,4,9,2,11,8,0,0,-175.0,Lightweight Bout
241,Bobby Green,37,70,71.0,31-15-1,2-2 (1 NC),6.14,0.52,3.74,0.62,2.4,1.2,0.37,0.74,0.3,48,0.22920000000000001,0.1875,0.22920000000000001,0.4167,11,5,9,2,11,8,0,0,-380.0,Lightweight Bout
242,Bobby Green,37,70,71.0,31-14-1,2-2 (1 NC),6.15,0.52,3.66,0.62,2.49,1.21,0.37,0.74,0.3,45,0.24,0.2,0.24,0.44439999999999996,11,4,9,2,11,8,0,0,-380.0,Lightweight Bout
243,Bobby Green,37,70,71.0,31-15-1,2-2 (1 NC),6.14,0.52,3.74,0.62,2.4,1.2,0.37,0.74,0.3,48,0.22920000000000001,0.1875,0.22920000000000001,0.4167,11,5,9,2,11,8,0,0,169.0,Lightweight Bout
244,Bobby Green,37,70,71.0,31-14-1,2-2 (1 NC),6.15,0.52,3.66,0.62,2.49,1.21,0.37,0.74,0.3,45,0.24,0.2,0.24,0.44439999999999996,11,4,9,2,11,8,0,0,169.0,Lightweight Bout
245,Ignacio Bahamondes,26,75,75.0,14-05-0,03-02,6.97,0.46,4.36,0.57,2.61,0.0,0.0,0.85,0.4,19,0.47369999999999995,0.0526,0.21050000000000002,0.5263,9,0,1,2,4,3,0,0,-330.0,Lightweight Bout
246,Natan Levy,32,69,71.0,08-01-0,04-01,4.01,0.51,3.52,0.58,0.49,5.37,0.57,0.41,0.5,9,0.0,0.33,0.56,0.3333,0,0,3,0,5,1,0,0,265.0,Lightweight Bout
247,Jaqueline Amorim,28,63,68.0,07-01-0,04-01,3.42,0.52,1.81,0.62,1.61,1.57,0.23,0.0,3.7,8,0.25,0.63,0.0,0.875,2,0,5,0,0,1,0,0,109.0,Lightweight Bout
248,Dustin Poirier,35,69,72.0,29-08-0,03-02,5.49,0.5,4.3,0.53,1.19,1.36,0.36,0.63,1.2,38,0.3947,0.18420000000000003,0.18420000000000003,0.5789,15,3,7,3,7,2,0,0,170.0,Lightweight Bout
249,Mateusz Gamrot,33,70,70.0,23-02-0,04-01,2.97,0.5,3.17,0.6,-0.2,4.36,0.3,0.9,0.2,26,0.3077,0.1923,0.3846,0.5,8,0,5,0,10,2,0,0,-455.0,Lightweight Bout
250,Ludovit Klein,29,67,72.5,20-04-0,03-01-2001,3.49,0.54,3.53,0.53,-0.04,1.52,0.45,0.83,0.0,25,0.32,0.32,0.16,0.64,8,1,8,2,4,1,0,0,-800.0,Lightweight Bout
251,Daniel Zellhuber,24,73,77.0,14-01-0,04-01,5.26,0.39,4.79,0.53,0.47,0.28,0.33,0.94,0.3,15,0.47,0.2,0.27,0.6667000000000001,7,0,3,0,4,1,0,0,-260.0,Lightweight Bout
252,Manuel Torres,28,70,73.0,14-02-0,5-0,9.66,0.58,3.76,0.56,5.9,0.0,0.0,1.0,0.0,16,0.44,0.38,0.06,0.8125,7,0,6,2,1,0,0,0,-170.0,Lightweight Bout
253,Claudio Puelles,27,70,72.0,12-03-0,04-01,1.82,0.49,2.93,0.47,-1.11,2.41,0.3,0.6,1.4,15,0.13,0.47,0.2,0.6,2,2,7,0,3,1,0,0,185.0,Lightweight Bout
254,Michael Johnson,37,70,73.5,21-19-0,02-03,4.28,0.39,3.91,0.58,0.37,0.46,0.38,0.8,0.1,40,0.225,0.05,0.25,0.275,9,3,2,9,10,7,0,0,-121.0,Lightweight Bout
255,Damir Hadzovic,37,69,70.0,14-07-0,02-03,3.36,0.48,3.26,0.62,0.1,0.78,0.55,0.34,0.2,21,0.3333,0.1429,0.1905,0.47619999999999996,7,1,3,1,4,5,0,0,245.0,Lightweight Bout
256,Renato Moicano,34,71,72.0,18-05-0,04-01,4.41,0.47,3.8,0.6,0.61,1.8,0.47,0.72,0.6,24,0.0,0.4167,0.3333,0.4167,0,3,10,1,8,1,0,0,-145.0,Lightweight Bout
257,Renato Moicano,34,71,72.0,17-05-0,03-02,4.75,0.47,4.07,0.6,0.68,1.66,0.46,0.74,0.7,23,0.0,0.43,0.3,0.43479999999999996,0,3,10,1,7,1,0,0,-145.0,Lightweight Bout
258,Renato Moicano,34,71,72.0,18-05-0,04-01,4.41,0.47,3.8,0.6,0.61,1.8,0.47,0.72,0.6,24,0.0,0.4167,0.3333,0.4167,0,3,10,1,8,1,0,0,195.0,Lightweight Bout
259,Renato Moicano,34,71,72.0,17-05-0,03-02,4.75,0.47,4.07,0.6,0.68,1.66,0.46,0.74,0.7,23,0.0,0.43,0.3,0.43479999999999996,0,3,10,1,7,1,0,0,195.0,Lightweight Bout
260,Marquel Mederos,27,70,69.5,08-01-0,5-0,5.78,0.6,1.93,0.63,3.85,0.0,0.0,1.0,0.0,9,0.67,0.0,0.22,0.6667000000000001,6,0,0,0,2,1,0,0,-142.0,Lightweight Bout
261,Jim Miller,40,68,71.0,37-17-0,04-01,2.96,0.42,3.18,0.58,-0.22,1.58,0.44,0.48,1.7,55,0.1273,0.3636,0.1818,0.49090000000000006,7,2,20,3,10,12,0,0,-119.0,Lightweight Bout
262,Jim Miller,40,68,71.0,36-17 (1 NC),04-01,2.86,0.41,3.08,0.58,-0.22,1.56,0.43,0.48,1.8,53,0.13,0.36,0.19,0.49060000000000004,7,2,19,3,10,12,0,0,-119.0,Lightweight Bout
263,Jim Miller,40,68,71.0,37-17-0,04-01,2.96,0.42,3.18,0.58,-0.22,1.58,0.44,0.48,1.7,55,0.1273,0.3636,0.1818,0.49090000000000006,7,2,20,3,10,12,0,0,150.0,Lightweight Bout
264,Jim Miller,40,68,71.0,36-17 (1 NC),04-01,2.86,0.41,3.08,0.58,-0.22,1.56,0.43,0.48,1.8,53,0.13,0.36,0.19,0.49060000000000004,7,2,19,3,10,12,0,0,150.0,Lightweight Bout
265,Tony Ferguson,39,71,76.5,25-09-0,0-5,4.98,0.45,4.26,0.56,0.72,0.42,0.35,0.66,0.9,34,0.32,0.26,0.15,0.5882000000000001,11,2,9,3,5,4,0,0,226.0,Lightweight Bout
266,Luana Santos,23,66,67.0,06-01-0,04-01,17.1,0.6,6.52,0.68,10.58,0.0,0.0,1.0,0.0,7,0.14,0.43,0.29,0.5714,1,0,3,0,2,1,0,0,-173.0,Lightweight Bout
267,Beneil Dariush,34,70,72.0,22-05-0,04-01,3.79,0.49,2.63,0.58,1.16,1.91,0.34,0.8,0.9,28,0.18,0.29,0.32,0.4643,5,4,8,1,9,0,0,0,250.0,Lightweight Bout
268,Punahele Soriano,31,71,72.5,09-03-0,02-03,4.04,0.45,4.22,0.48,-0.18,0.9,0.4,0.3,0.0,12,0.5,0.17,0.08,0.6667000000000001,6,1,2,0,1,2,0,0,-310.0,Lightweight Bout
269,Trey Ogden,34,71,72.0,16-06-0,2-2 (1 NC),3.64,0.47,4.02,0.58,-0.38,1.29,0.16,1.0,0.8,23,0.0,0.4783,0.21739999999999998,0.4783,0,0,11,3,5,3,0,0,110.0,Lightweight Bout
270,Trey Ogden,34,71,72.0,16-06-0,03-02,3.42,0.41,4.89,0.54,-1.47,0.67,0.14,1.0,0.7,22,0.0,0.5,0.23,0.5,0,0,11,3,5,3,0,0,110.0,Lightweight Bout
271,Trey Ogden,34,71,72.0,16-06-0,2-2 (1 NC),3.64,0.47,4.02,0.58,-0.38,1.29,0.16,1.0,0.8,23,0.0,0.4783,0.21739999999999998,0.4783,0,0,11,3,5,3,0,0,-155.0,Lightweight Bout
272,Trey Ogden,34,71,72.0,16-06-0,03-02,3.42,0.41,4.89,0.54,-1.47,0.67,0.14,1.0,0.7,22,0.0,0.5,0.23,0.5,0,0,11,3,5,3,0,0,-155.0,Lightweight Bout
273,Matt Frevola,33,69,71.0,11-03-0,03-02,3.72,0.41,3.56,0.59,0.16,2.26,0.36,0.42,0.9,15,0.27,0.2,0.27,0.4667,4,2,3,0,4,1,0,0,-186.0,Lightweight Bout
