Fight,OUTCOME,Fighter1,Fighter2
Khaos Williams  vs. Miguel Baeza ,L/W,Miguel Baeza,Khaos Williams
Brady Hiestand  vs. Ricky Turcios ,W/L,Ricky Turcios,Brady Hiestand
Conor McGregor  vs. Dustin Poirier ,W/L,Dustin Poirier,Conor McGregor
Mayra Bueno Silva  vs. Montana De La Rosa ,W/L,Montana De La Rosa,Mayra Bueno Silva
Conor McGregor  vs. Dustin Poirier ,W/L,Dustin Poirier,Conor McGregor
Randy Brown  vs. Warlley Alves ,L/W,Warlley Alves,Randy Brown
Angela Hill  vs. Ariane Carnelossi ,L/W,Ariane Carnelossi,Angela Hill
Montana De La Rosa  vs. Andrea Lee ,W/L,Andrea Lee,Montana De La Rosa
Gillian Robertson  vs. Mayra Bueno Silva ,W/L,Mayra Bueno Silva,Gillian Robertson
Sean Strickland  vs. Elizeu Zaleski dos Santos ,W/L,Elizeu Zaleski dos Santos,Sean Strickland
Mickey Gall  vs. Randy Brown ,W/L,Randy Brown,Mickey Gall
Conor McGregor  vs. Dustin Poirier ,L/W,Dustin Poirier,Conor McGregor
Dustin Poirier  vs. Cub Swanson ,W/L,Cub Swanson,Dustin Poirier
