,Weight Class,Fighter Name,Last Fight Date,Age,Height,Reach,Sig. Strikes Landed/min,Striking Accuracy (%),Sig. Strikes Absorbed/min,Striking Defense (%),Differential/min (+/-),Strikes by Position to Head,Strikes by Position to Body,Strikes by Position to Leg,Control Time per Position Distance,Control Time per Position Clinch,Control Time per Position Ground,Takedown Avg/15min,Takedown Accuracy (%),Takedown Defense (%),Sub Attempt Avg/15min,Ground Control Time,SDBL/A,SDHL/A,SDLL/A,TSL,TSA,SSL,SSA,TSL-TSA,KD,%BODY,%HEAD,%LEG,SCBL,SCBA,SCHL,SCHA,SCLL,SCLA,RV,SR,TDL,TDA,TDS,TK ACC,SGBL,SGBA,SGHL,SGHA,SGLL,SGLA,AD,ADTB,ADHG,ADTM,ADTS,SM,
21,Lightweight,Islam Makhachev,2023-10-21 00:00:00,32.0,5 ft 10 in,70.5 in,2.46,60,1.27,62,1.19,244.0,100.0,17.0,xx,xx,xx,3.17,61,91,1.02,xx,0.0,0.25,0.0,52.76,70.15,27.6,42.91,0.78,0.45,0.75,0.62,0.59,4.96,4.96,1.1,1.58,0.0,0.0,0.0,0.0,1.63,3.38,0.0,0.47,0.0,0.0,4.63,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,
22,Lightweight,Dustin Poirier,2024-03-09 00:00:00,35.0,5 ft 9 in,72 in,5.45,51,4.36,53,1.09,1383.0,162.0,179.0,xx,xx,xx,1.33,36,63,1.37,xx,0.0,0.52,0.0,43.63,70.19,36.21,61.72,0.64,0.43,0.85,0.59,0.68,0.0,0.0,2.93,4.7,0.0,0.0,0.0,0.0,0.15,0.55,0.0,0.07,0.0,0.0,5.73,9.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,
23,Middleweight,Sean Strickland,2024-01-20 00:00:00,33.0,6 ft 1 in,76 in,5.91,42,4.33,63,1.58,1558.0,233.0,96.0,xx,xx,xx,0.85,64,77,0.19,xx,0.41,0.39,0.0,150.27,335.58,144.92,328.71,0.45,0.43,0.68,0.41,0.67,0.17,0.17,3.53,4.55,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.32,0.0,0.0,3.93,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24,Middleweight,Paulo Costa,2024-02-17 00:00:00,32.0,6 ft 1 in,72 in,6.2,58,6.38,47,xx,333.0,238.0,51.0,xx,xx,xx,0.45,75,80,0,xx,0.48,0.37,2.52,97.24,156.43,88.01,144.95,0.5,0.3,0.69,0.49,0.76,2.12,2.12,0.15,0.37,0.15,0.15,0.0,0.0,0.65,0.65,0.0,0.43,1.78,1.78,3.3,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25,Heavyweight,Jailton Almeida,2024-03-09 00:00:00,32.0,6 ft 3 in,79 in,2.54,65,0.74,41,1.8,10.0,3.0,142.0,xx,xx,xx,6.88,60,75,2.21,xx,0.0,0.0,0.0,51.08,64.88,20.01,28.31,0.78,0.0,0.33,0.61,0.16,0.23,0.23,0.45,1.58,0.0,0.0,0.23,0.0,4.78,8.36,0.0,0.62,0.65,0.65,17.13,21.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,
26,Heavyweight,Alexandr Romanov,2024-06-01 00:00:00,33.0,6 ft 2 in,75 in,4.06,52,2.2,51,-1.86,118.0,23.0,141.0,xx,xx,xx,4.32,54,20,0.86,xx,0.0,0.16,0.25,58.64,95.69,39.07,70.52,0.49,0.0,0.46,0.39,0.56,1.6,1.6,0.0,0.4,1.2,1.4,0.2,0.0,2.17,4.65,0.0,0.51,0.6,0.6,11.28,15.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,
27,Welterweight,Randy Brown,2024-02-03 00:00:00,33.0,6 ft 3 in,78 in,4.37,47,3.33,54,1.04,556.0,153.0,135.0,xx,xx,xx,0.78,39,74,0.52,xx,0.15,0.17,0.37,49.77,108.41,44.25,100.59,0.4,0.43,0.56,0.26,0.89,2.25,2.42,1.72,2.47,1.35,1.35,0.17,0.0,0.45,1.22,0.0,0.23,0.0,0.0,0.77,0.77,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.17,
28,Welterweight,Elizeu Zaleski dos Santos,2023-11-04 00:00:00,36.0,5 ft 11 in,73 in,4.52,42,3.33,57,1.19,474.0,189.0,131.0,xx,xx,xx,0.43,14,69,0.43,xx,0.17,0.25,0.49,92.58,187.77,75.36,162.76,0.47,0.0,0.62,0.33,0.83,5.13,6.35,6.1,10.7,0.17,0.4,0.0,0.0,0.3,2.8,0.0,0.07,1.35,1.35,5.21,6.56,0.15,0.15,0.17,0.0,0.0,0.0,0.17,0.25,
29,Middleweight,Cesar Almeida,2024-04-06 00:00:00,36.0,6 ft 1 in,74 in,4.5,65,1.31,51,3.19,63.0,25.0,12.0,xx,xx,xx,0,0,63,0,xx,0.0,0.0,0.0,43.44,58.21,23.27,35.66,0.36,0.0,0.41,0.3,0.42,1.18,1.18,4.49,5.21,1.13,1.13,0.23,0.0,0.0,0.0,0.0,0.0,2.03,2.03,8.64,13.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,Middleweight,Roman Kopylov,2024-02-17 00:00:00,31.0,6 ft,75 in,4.66,54,4.1,60,0.56,206.0,74.0,56.0,xx,xx,xx,0.42,50,87,0,xx,0.16,0.49,0.21,53.03,86.1,49.35,82.19,0.64,0.57,0.95,0.51,0.99,0.4,0.4,2.35,3.35,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
